Method,URL Path,File,purpose,internal/external,Audited
POST,/recordings/room/:roomId/upgrade,routes/recordings.js,dashboard,internal,No
GET,/recordings/share-token/:shareToken,routes/recordings.js,dashboard,internal,No
GET,/recordings/sigtest,routes/recordings.js,dashboard,internal,No
POST,/recordings/update,routes/recordings.js,dashboard,internal,No
GET,/rooms,routes/public-api.js,REST API,external,No
POST,/rooms,routes/public-api.js,REST API,external,No
GET,/rooms/:name,routes/public-api.js,REST API,external,No
DELETE,/rooms/:name,routes/public-api.js,REST API,external,No
POST,/rooms/:name,routes/public-api.js,REST API,external,No
DELETE,/rooms/:room/user/:user,routes/rooms.js,dashboard,internal,No
POST,/rooms/:room/user/:user,routes/rooms.js,dashboard,internal,No
GET,/rooms/check/:domain/:room,routes/rooms.js,dashboard,internal,No
POST,/rooms/ksauth/:domain/:room/:sessionId,routes/rooms.js,dashboard,internal,No
DELETE,/rooms/ksauth/:token,routes/rooms.js,dashboard,internal,No
GET,/rooms/props/:domain/:room,routes/rooms.js,dashboard,internal,No
POST,/root/create-api-token,routes/public-api.js,REST API,external,No
POST,/root/delete-api-token,routes/public-api.js,REST API,external,No
POST,/root/preview-plan-change,routes/public-api.js,REST API,external,No
POST,/root/regenerate-api-token,routes/public-api.js,REST API,external,No
POST,/root/stripe-invoice,routes/public-api.js,REST API,external,No
POST,/root/subscribe-to-plan,routes/public-api.js,REST API,external,No
POST,/stripe-update-payment-info,routes/public-api.js,REST API,external,No
GET,/tcct-150721/:timeout/tcct-150721.json,app-server.js,,,No
GET,/tcct-190710/:action/:mtg_str/:twilio_sid,app-server.js,,,No
GET,/tt-150331.json,app-server.js,,,No
GET,/tt-170523/:identity/tt-170523.json,app-server.js,,,No
GET,/usage,routes/public-api.js,REST API,external,No
DELETE,/users/:user,routes/users.js,dashboard,internal,No
POST,/users/add-payment-info,routes/users.js,dashboard,internal,No
POST,/users/avatar,routes/users.js,dashboard,internal,No
GET,/users/avatar/:avatarId,routes/users.js,dashboard,internal,No
POST,/users/check-recovery,routes/users.js,dashboard,internal,No
GET,/users/checkAuthToken,routes/users.js,dashboard,internal,No
GET,/users/geo,routes/users.js,dashboard,internal,No
GET,/users/get-payment-info,routes/users.js,dashboard,internal,No
GET,/users/invites,routes/users.js,dashboard,internal,No
POST,/users/login,routes/users.js,dashboard,internal,No
POST,/users/login-google,routes/users.js,dashboard,internal,No
GET,/users/logout,routes/users.js,dashboard,internal,No
POST,/users/recover,routes/users.js,dashboard,internal,No
POST,/users/refresh,routes/users.js,dashboard,internal,No
POST,/users/remove-user-avatar,routes/users.js,dashboard,internal,No
GET,/users/reset,routes/users.js,dashboard,internal,No
POST,/users/send-verify-email,routes/users.js,dashboard,internal,No
POST,/users/signup,routes/users.js,dashboard,internal,No
POST,/users/signup-google,routes/users.js,dashboard,internal,No
POST,/users/update,routes/users.js,dashboard,internal,No
POST,/users/update-billing-email,routes/users.js,dashboard,internal,No
POST,/users/update-payment-info,routes/users.js,dashboard,internal,No
POST,/users/verify-email,routes/users.js,dashboard,internal,No
POST,/webhooks-meeting-end,routes/public-api.js,REST API,external,No
,,,,,No
PATCH,/users/update-user-info,routes/users.js,dashboard,internal,No
